row_id,tsv_seq,citation_key,year,title,full_name,final_tier,A1_competency_regime,A2_action_abstraction,A2_observation_type,A2_decision_formalism,A3_SPAE_pattern,A3_authority_pattern,A4_assurance_mode,A5_EVL,synthesis_set,_alias_note
85,85,chandramouli_construction_2025,2025,Construction robot skill learning fragile object,Construction Robot Skill Learning for Fragile Object Installation with Low-Effort Demonstration and Sample-Efficient Hierarchical Reinforcement Learning Models,Tier B,Structural Assembly and Installation,Low-level,Low-dim / structured joint-state plus collision-force observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"paper-level check: the study develops force-aware hierarchical RL and validates mainly in MuJoCo simulation for fragile panel installation skill learning; despite construction relevance, evidence is simulation-only without independent runtime safety intervention or field deployment."
86,86,cramer2025cheq,2025,Cheq-ing the box safe variable impedance,Cheq-ing the box: Safe variable impedance learning for robotic polishing,Tier B,Additive Manufacturing and Surface Processing,Mid-level,Low-dim / structured joint-state plus force and path-tracking-error observation,POMDP,MB/D/MB/MB,Residual learning within classical control,AM1,L2,Contextual,"paper-level check: IFAC 2025 demonstrates adaptive hybrid RL (CHEQ) for variable-impedance robotic polishing with direct hardware training (8 hours, 5 failures); evidence is strong for contact-rich manipulation methodology but remains non-construction and is kept contextual."
87,87,dos_santos_autonomous_2013,2013,Autonomous construction of structures dynamic,Autonomous Construction of Structures in a Dynamic Environment using Reinforcement Learning,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured robot-pose and assembly-state observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Contextual,paper-level check: this pre-deep-RL study uses learning automata plus heuristic path planning for quadrotor-based truss assembly and reports hardware demonstration in a controlled environment; evidence is historically important but remains contextual relative to modern DRL construction autonomy.
88,88,duan2025enhancing,2025,Enhancing construction robot collaboration MARL,Enhancing construction robot collaboration via multiagent reinforcement learning,Tier B,"Navigation, Layout, and Logistics Support",Low-level,Low-dim / structured multi-agent joint-state and task-geometry observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: JIC 2025 presents multiagent PPO-based control for collaborative construction robot tasks in PyBullet simulation with IK-assisted precise installation; evidence is construction-relevant but simulation-only, without physical deployment or independent runtime safety intervention layer."
89,89,hoeller2021learning,2021,Learning state representation navigation cluttered,【1】Learning a state representation and navigation in cluttered and dynamic environments,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim / learned latent depth-state representation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Contextual,"paper-level check: IEEE RA-L 2021 demonstrates sim-to-real local navigation with learned state representation on ANYmal using depth sensing in cluttered dynamic environments; strong robotics methodology evidence with real-robot validation, but non-construction domain and retained as contextual background."
90,90,huang2022deep,2022,DRL construction robots collaboration sequential,Deep reinforcement learning-based construction robots collaboration for sequential tasks,Tier B,Structural Assembly and Installation,Low-level,Low-dim / structured multi-robot joint-state and task-geometry observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: two RL-trained robots (UGV transport + arm installation) are coordinated sequentially for window panel transport-and-installation in simulation with end-to-end inference; construction-relevant but simulation-only evidence without physical deployment.
91,91,ishmatuka2023autonomous,2023,Autonomous pick-and-place excavator,Autonomous pick-and-place using excavator based on deep reinforcement learning,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured joint-state and bucket pose-error observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: ICITEE 2023 trains PPO in PyBullet for excavator bucket pick-and-place using proprioceptive and pose-error states; construction-relevant control evidence is simulation-only without physical deployment.
92,92,kiemel2019paintrl,2019,Paintrl Coverage path planning industrial spray,Paintrl: Coverage path planning for industrial spray painting with reinforcement learning,Tier B,Additive Manufacturing and Surface Processing,High-level,Low-dim / structured coverage-state sector observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: PaintRL studies spray-coverage path planning in PyBullet and uses projection mapping for sim2real visualization/data collection concepts; evidence is simulation-centric for non-construction industrial finishing and retained as contextual methodology.
93,93,Kim2025896,2025,Enhanced Hydraulic Excavator Semi-automatic Grading,Enhanced Hydraulic Excavator Control via Semi-automatic Grading Control Using Reinforcement Learning,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured joint-angle-cylinder-velocity and joystick-history observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: IJCAS 2025 combines kinematics-based semi-automatic grading control, supervised inverse hydraulic modeling, and PPO-based arm-joystick optimization on a simplified 30-ton excavator simulator; evidence is construction-specific but simulation-only without independent runtime intervention layer."
94,94,Lee2024181,2024,Task Space Control Hydraulic Construction Machines,Task Space Control of Hydraulic Construction Machines Using Reinforcement Learning,Tier A,Earthwork and Material Processing,Low-level,Low-dim / structured joint-state-history and task-space goal-velocity observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Primary,"paper-level check: framework trains PPO policy in simulation with data-driven hydraulic actuator models and directly deploys to full-scale Brokk 170 task-space teleoperation control; evidence includes real-machine experiments, but safety handling is mainly bounded operational setup rather than an independent runtime intervention layer."
95,95,lee2023reinforcement,2023,RL virtual fixtures teleoperation hydraulic,Reinforcement learning-based virtual fixtures for teleoperation of hydraulic construction machine,Tier A,Structural Assembly and Installation,Mid-level,Low-dim / structured joint-state-history and borehole-pose observation,POMDP,H/D/H/H,Bounded shared control,AM1,L2,Primary,"paper-level check: RO-MAN 2023 learns joystick-guidance virtual fixtures from RL policies for Brokk 170 hammer/chisel borehole insertion and validates via real-machine user study; authority remains human-in-the-loop with advisory guidance, without an independent hard runtime veto layer."
96,96,liu2019slabstone,2019,Slabstone installation skill acquisition,Slabstone installation skill acquisition for dual-arm robot based on reinforcement learning,Tier B,Structural Assembly and Installation,Mid-level,Low-dim / structured dual-arm force-torque contact-state observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,paper-level check: ROBIO 2019 formulates slabstone final seating as DRL-based dual-arm pose adjustment with spring-damper filling-material simulation and evaluates only in V-REP; construction-relevant contact-control concept but simulation-only without hardware deployment or independent runtime assurance layer.
97,97,liu2022option,2022,Option-based multi-agent RL painting,Option-based multi-agent reinforcement learning for painting with multiple large-sized robots,Tier B,Additive Manufacturing and Surface Processing,High-level,Low-dim / structured graph-station and robot-scheduling state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: IEEE T-ITS 2022 addresses aircraft multi-robot painting task allocation and scheduling in graph space with option-based MARL and trajectory-time/collision penalties; evidence is non-construction and simulation/planning-only without independent runtime intervention layer.
98,98,maguire2025lidar,2025,LiDAR-Only Navigation UGVs Graph Attention,LiDAR-Only Navigation of UGVs in Dynamic Environments via Graph Attention Networks and Deep Reinforcement Learning,Tier B,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim / structured LiDAR-sector graph and robot-goal kinematic state observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,"paper-level check: ICM 2025 uses GAT-enhanced TD3 for LiDAR-only UGV navigation with dynamic obstacles in Gazebo; policies output velocity commands and improve simulation success/generalization, but evidence is non-construction and simulation-only without independent runtime intervention layer."
99,99,salas2025autonomous,2025,Autonomous loading ore piles LHD,Autonomous loading of ore piles with Load-Haul-Dump machines using deep reinforcement learning,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured bucket-tip pose-joint-state and pile-characterization observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Contextual,"paper-level check: ESWA 2025 trains DDPG policies in a simplified earth-moving simulation and validates direct sim2real transfer on a scaled LHD with scaled muck piles (including nonhomogeneous material), showing strong physical loading performance; evidence is mining-domain analogue with scaled real interaction, without an independent runtime intervention layer."
100,100,sartoretti2019distributed,2019,Distributed RL multi-robot decentralized,Distributed Reinforcement Learning for Multi-robot Decentralized Collective Construction,Tier B,Structural Assembly and Installation,High-level,Low-dim / structured multi-agent 3D grid-state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,"paper-level check: this AAMAS 2019-style study extends A3C for decentralized multi-robot collective construction policy learning in simulation, with centralized training and distributed execution over varying swarm sizes; evidence is construction-relevant but simulation-only without physical deployment or independent runtime assurance layer."
101,101,spinelli2024reinforcement,2024,RL hydraulic material handling underactuated,Reinforcement learning control for autonomous hydraulic material handling machines with underactuated tools,Tier B,Earthwork and Material Processing,Low-level continuous joint/actuator command control (slew joystick command plus boom/stick velocity references),Low-dim / structured joint-state and action history with hydraulic pressure evolution configuration-dependent inertia and Cartesian target observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L3,Contextual,"paper-level check: proposes PPO-based RL control for a large hydraulic material handler with an underactuated free-swinging tool, using a mixed simulation model (data-driven slew hydraulic motor plus first-principles arm and pendulum-tool dynamics). The controller jointly actuates slew and arm to reach Cartesian targets while damping tool oscillations, and is validated on a real approximately 40 t prototype machine with comparisons to operators. Evidence supports strong real-machine control performance in a construction-adjacent material-handling setting, without an independent runtime veto/fallback layer."
102,102,tan2025disturbance,2025,Disturbance compensation DRL underactuated,Disturbance compensation-based deep reinforcement learning control strategy for underactuated overhead crane systems: Design and experiments,Tier B,Material Placement and Lifting,Low-level,Low-dim / structured trolley-payload state and observer-estimated disturbance observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,paper-level check: T-ITS 2025 combines DDPG with super-twisting extended-state-observer disturbance compensation for underactuated overhead-crane tracking/anti-sway and reports simulation plus hardware validation; evidence is strong control-level lifting methodology but remains non-construction contextual.
103,103,wang2024integrated,2024,Integrated RL imitation tower crane,Integrated reinforcement and imitation learning for tower crane lift path planning,Tier A,Material Placement and Lifting,High-level,Low-dim / structured virtual crane-site state and target-direction observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Primary,paper-level check: Automation in Construction 2024 combines BC pretraining from VR expert demonstrations with PPO and GAIL refinement for tower-crane lift-path planning in blind and nonblind scenarios; construction-specific planning evidence is strong in simulation but lacks physical crane closed-loop deployment and independent runtime intervention layers.
104,104,wang_reinforcement_2025,2025,RL continuous path planning concrete 3D,Reinforcement learning-based continuous path planning and automated concrete {3D} printing of complex hollow components,Tier A,Additive Manufacturing and Surface Processing,High-level,Low-dim / structured contour-key-point and path-state representation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L1,Primary,"paper-level check: RL pointer-network optimizes continuous fill-path sequencing with Bezier smoothing and multithreaded layer-connection, then executes on laboratory concrete 3D-printing equipment; assurance is optimization/planning-side without a distinct runtime intervention layer."
105,105,Wei20251252,2025,Fixed-Time Convergence Adaptive Robust Crane,Fixed-Time Convergence Ding2025Adaptive Robust Controller for Overhead Cranes Based on Reinforcement Learning Considering Input Saturation,Tier B,Material Placement and Lifting,Low-level continuous actuator-force control (trolley driving force u1 and lifting force u2 under saturation constraints),Low-dim / structured overhead-crane state (trolley position x rope length l swing angle theta and derivatives) with AFESO disturbance-estimation states for matched and unmatched disturbance compensation,MDP,MB/D/MB/MB,Residual learning within classical control,AM0,L0,Contextual,"paper-level check: underactuated overhead-crane controller combines fixed-time nonsingular fast terminal sliding mode control (NFTSMC) + adaptive fixed-time extended state observer (AFESO) + fixed-time anti-saturation auxiliary compensator; weak RL (RBFNN-based online tuning) adapts reaching-law gains to reduce chattering and improve transient robustness while preserving closed-loop fixed-time guarantees. Control objective is trolley positioning and sway suppression with rope-length regulation under matched/unmatched disturbances and actuator input saturation. Validation is simulation-only (multiple disturbance/saturation ablations and baseline comparisons, including PDSMC/FNFTSMC/FINFTSMC), so assurance is controller-internal robust design rather than an independent runtime safety monitor."
106,106,xu_deep_2023,2023,Deep Reinforcement Learning-based Task Assignment and Path Planning,Deep Reinforcement Learning-based Task Assignment and Path Planning for Multi-agent Construction Robots,Tier A,"Navigation, Layout, and Logistics Support",Low-level 1D linear velocity commands per robot toward assigned goals,High-dim observation using 2D LiDAR range scans plus relative robot-goal/robot states and idle-time scalars,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"MAPPO proof-of-concept combines MATA (task allocation) and MAPP (multi-agent path planning) for a bricklaying setting using centralized learning with decentralized execution; each robot observes distance-to-assigned-goal plus multi-robot coordination features including idle-time and 2D LiDAR/laser obstacle range measurements; the action is a 1D vector representing linear velocity v_l^t along the robot heading toward its assigned goal; the episodic POMDP terminates on collision or when all robots reach goals or time limit; reward blends task-logic compliance and idle-time penalties with distance-to-shortest-path terms and obstacle/collision penalties; in the reported proof-of-concept some obstacle/path-planning terms are simplified and collision penalties are effectively ruled out so robot-velocity randomness dominates the residual uncertainty; training converges after several thousand episodes (stabilizes around ~5,000 in the fixed-seed report), demonstrating feasibility in ROS Gazebo but no real-robot validation (EVL L0 simulation-level only)."
107,107,yasutomi2023visual,2023,Visual spatial attention peg-in-hole,Visual spatial attention and proprioceptive data-driven reinforcement learning for robust peg-in-hole task under variable conditions,Tier A,Structural Assembly and Installation,Mid-level,High-dim / multimodal visual-proprioceptive observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Primary,"paper-level check: construction-specific anchor-bolt insertion in concrete holes uses end-to-end SAP+DDQN visuoproprioceptive policy with offline hole-map training and real industrial-robot evaluation across unknown holes, varying initial offsets, and challenging lighting; no distinct runtime intervention layer is disclosed."
108,108,Yin202288,2022,Real-time Smooth Lifting Path Planning Tower Crane TD3,A Real-time Smooth Lifting Path Planning for Tower Crane Based on {TD3} with Discrete-Continuous Hybrid Action Space,Tier A,Material Placement and Lifting,High-level,Low-dim / structured C-space planner-state and obstacle-range observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,"paper-level check: TD3 with discrete-continuous hybrid action planning and HER targets smooth real-time tower-crane lift-path generation in unknown environments, but evidence is simulation-only and safety handling is planning/reward-side without a distinct runtime intervention layer."
109,109,yoo20243d,2024,3D Operation Autonomous Excavator Independent Reward,3d operation of autonomous excavator based on reinforcement learning through independent reward for individual joints,Tier A,Earthwork and Material Processing,Low-level,Low-dim / structured joint-angle and bucket-target pose-command observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Primary,"paper-level check: TD3-based end-to-end control uses independent per-joint rewards to operate 4-DOF excavator (including cabin swing) for 3D path-following; simulation training transfers to controlled real excavator tests, supporting EVL L2 without a distinct runtime intervention layer."
110,110,yoon_reinforcement_2026,2026,RL adaptive 3D simulation excavator,Reinforcement learning-driven adaptive {3D} simulation and visualization of excavator operations,Tier B,Earthwork and Material Processing,High-level,Low-dim / structured 4-DoF excavator-state and site-geometry sensor observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,"paper-level check: PPO-based 3D virtual excavation simulation focuses on adaptive motion-path generation and cycle-time estimation with transfer/fine-tuning in site-specific environments, but remains simulation-centric without closed-loop field deployment or distinct runtime intervention layer."
111,111,yu_teaching_2025,2025,Teaching Robot End Effectors Grasp Construction Tools,Teaching Robot End Effectors to Grasp Construction Tools Based on Deep Reinforcement Learning,Tier B,Structural Assembly and Installation,Low-level,High-dim / RGB-D visual observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: PPO-based simulation policy learns end-effector/gripper control for grasping multiple construction tools in PyBullet with unseen-tool tests; evidence is construction-relevant but simulation-only without closed-loop field deployment or distinct runtime intervention layer.
112,112,zamfirache2024adaptive,2024,Adaptive RL PPO slime mould tower crane,Adaptive reinforcement learning-based control using proximal policy optimization and slime mould algorithm with experimental tower crane system validation,Tier B,Material Placement and Lifting,Low-level,Low-dim / structured tower-crane state and reference-tracking error observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,paper-level check: PPO with SMA-adapted learning rates performs reference-tracking control on real-time laboratory tower-crane equipment; evidence includes hardware validation but remains controlled non-site exposure with no distinct runtime intervention layer beyond controller-level constraints.
113,113,zamfirache2025safe,2025,Safe RL DDPG slime mould tower crane,Safe reinforcement learning-based control using deep deterministic policy gradient algorithm and slime mould algorithm with experimental tower crane system validation,Tier B,Material Placement and Lifting,Low-level,Low-dim / structured tower-crane state and tracking-error observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,paper-level check: safe-DDPG with SMA-initialized actor network enforces state-safety penalties during learning and reports real-time laboratory tower-crane reference-tracking validation; evidence remains controlled non-site exposure without independent runtime intervention layer beyond controller-level constraints.
114,114,zhang2023deep,2023,DRL domain randomization overhead crane,Deep reinforcement learning with domain randomization for overhead crane control with payload mass variations,Tier B,Material Placement and Lifting,Low-level,Low-dim / structured trolley-swing state observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L0,Contextual,paper-level check: DR-MABPPO applies domain-randomized training over payload mass variation to learn bounded overhead-crane force control policy with anti-sway tracking; evidence is simulation-only and contextual without closed-loop field deployment.
115,115,cheng2025deep,2025,DRL tower crane layout dense multi-building sites,Deep Reinforcement Learning for Tower Crane Layout Planning in Dense Multi-Building Sites,Tier A,Material Placement and Lifting,High-level,High-dim / structured site-grid coverage-obstacle observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Primary,paper-level check: PPO-based tower-crane layout planning over candidate installation positions with reward balancing coverage/redundancy/cost/collision constraints; evidence is simulation-only without field deployment or explicit runtime intervention layer.
116,116,zhang_towards_2022,2022,Autonomous optimal excavation shield machine,Towards Autonomous and Optimal Excavation of Shield Machine: A Deep Reinforcement Learning-Based Approach,Tier A,Earthwork and Material Processing,Mid-level,Low-dim / structured shield-machine operational-geological state observation,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"Shield-machine optimal excavation validated with field-data-calibrated numerical experiments; no live TBM closed-loop deployment, therefore EVL L0."
117,117,Zhao2020202,2020,Model accelerated RL high precision assembly,Model accelerated reinforcement learning for high precision robotic assembly,Tier B,Structural Assembly and Installation,Low-level,Low-dim / structured force-torque and insertion-depth observation,MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L2,Contextual,"paper-level check: maximum-entropy RL policy outputs desired contact force while a classical impedance controller executes low-level compliant motion; validated on an industrial robot with real contact-rich peg-in-hole experiments, but remains non-construction-domain evidence."
118,118,zhu_robot_2020,2020,Robot construction simulation DRL,Robot construction simulation using deep reinforcement learning,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / structured 2D grid-state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: DQN-based single-task construction-robot simulation learns discrete move/pick/place policies in a 2D grid environment for material transport workflow optimization; evidence is simulation-only without physical robot deployment or runtime intervention layer.
119,119,trovinger2025vision,2025,Reinforcement Learning with Vision-based State Estimation for Generalized Robotic Assembly,Reinforcement Learning with Vision-based State Estimation for Generalized Robotic Assembly,Tier B,Structural Assembly and Installation,High-level discrete assembly planning with macro-actions executed by inverse kinematics (move-to-pose and open/close gripper primitives),Low-dim / engineered vision-derived object state (RGB contour-detected block corners center pose and z-axis rotation) plus discrete assembly/task-state representation,MDP,MB/D/MB/MB,Task/planner-level,AM1,L2,Contextual,"paper-level check: framework integrates vision-based state estimation (OpenCV contour detection plus linear-regression grasp-point mapping) with a discrete RL formulation where transitions are executed deterministically through inverse kinematics rather than learned low-level control. Evaluated in Panda-Gym/PyBullet simulation (Stable-Baselines3 baselines include DDPG TD3 SAC with HER) and on a lab Kinova Gen3 7-DOF robot assembling wooden-block tower and wall structures; evidence supports lab validation (L2) but no independent runtime intervention layer beyond the kinematics/controller stack."
120,120,liang2020teaching,2020,Teaching robots to perform quasi-repetitive construction tasks through human demonstration,Teaching robots to perform quasi-repetitive construction tasks through human demonstration,Tier A,Structural Assembly and Installation,Mid-level,High-dim observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,AIC journal paper; LfD plus TRPO/RL policy for ceiling-tile installation using KUKA mobile manipulator emulator in ROS-Gazebo.
121,121,lee2022digital,2022,Digital twin-driven deep reinforcement learning for adaptive task allocation in robotic construction,Digital Twin-Driven Deep Reinforcement Learning for Adaptive Task Allocation in Robotic Construction,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / structured digital-twin site-state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Primary,paper-level check: PPO-based DRL agent learns high-level task allocation in a digital-twin robotic construction simulation (brick delivery and assembly) with dynamic environment parameters; evidence is construction-specific but simulation-only without field deployment or runtime intervention layer.
122,122,chen2025assemblycomplete,2025,AssemblyComplete 3D combinatorial construction with DRL,AssemblyComplete: 3D Combinatorial Construction with Deep Reinforcement Learning,Tier B,Structural Assembly and Installation,High-level,High-dim / structured voxel-assembly and inventory state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: PPO-based DRL performs combinatorial Lego assembly completion using voxel state and inventory with heuristic action masking for invalid placements; evidence is simulation-focused and not field-validated construction deployment.
123,123,ross2021agpnet,2022,AGPNet -- Autonomous Grading Policy Network,AGPNet -- Autonomous Grading Policy Network,Tier A,Earthwork and Material Processing,High-level,High-dim / structured height-map observation,MDP,H/D/MB/MB,Bounded skill or supervisory,AM1,L2,Primary,paper-level check: AGPNet performs high-level dozer trajectory/waypoint planning using hybrid RL+BC+contrastive learning with simulation training and validation on a 1:9 scaled physical dozer prototype in a lab setup.
124,124,shen2026solving,2026,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,Solving robotics tasks with prior demonstration via exploration-efficient deep reinforcement learning,Tier A,Earthwork and Material Processing,Low-level,Low-dim / structured joint-state and interaction-force observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L3,Primary,paper-level check: DRLR policy outputs boom/bucket reference commands for wheel-loader bucket-loading with real MUSTANG 2040 experiments in wet sand and stone piles under supervised/manual advance motion; evidence is real heavy-equipment external validation but not sustained site workflow deployment.
125,125,Sun2026,2026,,Digital twin--enabled real-time control of tunnel boring machines using deep reinforcement learning for cumulative settlement management,Tier B,Earthwork and Material Processing,Mid-level,Low-dim / structured geotechnical-parameter and cumulative-settlement state observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: DRL+MCTS optimizes TBM face support and grout pressure in a digital-twin environment for cumulative settlement management; evidence is project-calibrated simulation without live closed-loop field deployment.
126,126,Lin2024,2024,,Physics-informed deep reinforcement learning for enhancement on tunnel boring machine's advance speed and stability,Tier B,Earthwork and Material Processing,Low-level continuous TBM parameter control (total thrust force TF and screw conveyor pressure SCP),Low-dim / structured TBM state with tunnel depth earth-pressure proxy (middle chamber pressure) previous-step advance speed and top/bottom chamber pressures plus current control parameters,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: proposes physics-informed TD3 (pTD3) for EPB-TBM operation by combining a physics-informed environment model (PDNN) and physics-constrained reward and penalty terms derived from earth-pressure-balance mechanism. Agent controls TF and SCP ring-by-ring to improve advance speed and pressure stability; case study uses Singapore C885 project data with virtual-environment training and evaluation (no live closed-loop deployment), so assurance remains internal model/reward constraints without independent runtime veto/fallback layer."
127,127,Cao202447,2024,,Model-based offline reinforcement learning framework for optimizing tunnel boring machine operation,Tier B,Earthwork and Material Processing,Mid-level,Low-dim / structured TBM-monitoring and action-adjustment state observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: transformer-based offline/model-based RL uses recorded driver action sequences and TBM monitoring transitions to recommend one-shot parameter adjustment in a learned virtual environment; evidence remains data-driven validation without live closed-loop deployment.
128,128,wang2025intelligent,2026,,Intelligent attitude control in tunnel boring machine considering uncertain underground environment using deep reinforcement learning,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured TBM-attitude and tunneling-state observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,paper-level check: GRU-DDPG directly outputs grouped thrust-cylinder force actions for dynamic TBM attitude correction in a project-calibrated virtual underground environment with random-settlement perturbations; evidence remains simulation/data-driven evaluation without live closed-loop field deployment.
129,129,Azulay202124145,2021,,Wheel loader scooping controller using deep reinforcement learning,Tier B,Earthwork and Material Processing,Low-level,Low-dim / structured proprioceptive bucket-load and mechanism-state observation,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L2,Contextual,paper-level check: DDPG controller outputs continuous lift-tilt-velocity commands for a custom wheel-loader platform trained in simulation and validated on a small real robot over varying pile inclinations; evidence supports lab/prototype physical validation (L2) but no independent runtime intervention layer or field-scale construction deployment.
130,130,Zhang2025,2025,,Time-optimal online trajectory planning for excavator robotics based on reinforcement learning,Tier A,Earthwork and Material Processing,Low-level continuous joint-space control (per-step boom-arm-bucket joint-angle increments),Low-dim / structured proprioceptive joint-angle state with target-joint-angle references for boom arm and bucket (state normalized before policy input),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,"paper-level check: multi-agent excavator trajectory planner uses improved TD3 (twin-critic Actor-Critic with target-policy smoothing and delayed updates) plus prioritized replay and centralized-training/distributed-execution to learn time-optimal trimming trajectories online in simulation. Policy outputs continuous joint-angle increments; reward combines joint-limit penalties with task-time and bucket-tip target-distance terms, yielding smoother joint trajectories and faster completion than DDPG/TRPO/vanilla TD3 in reported simulation studies. Evidence is simulation-only with no independent runtime safety monitor or real-machine closed-loop deployment."
131,131,Heyu20222547,2022,,Impedance control method with reinforcement learning for dual-arm robot installing slabstone,Tier A,Structural Assembly and Installation,Mid-level,Low-dim / structured proprioceptive and force-contact state,POMDP,MB/D/MB/MB,Residual learning within classical control,AM1,L0,Primary,Dual-arm slabstone impedance-control study is simulation-validated only; coded as residual authority with AM1 and EVL L0.
132,132,Osaka2021,2021,,Route optimization for autonomous bulldozer by distributed deep reinforcement learning,Tier A,Earthwork and Material Processing,High-level,Low-dim / structured terrain-sediment grid-state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Primary,paper-level check: PPO-based distributed RL learns bulldozer sediment-leveling route planning in a continuous simulator with LSTM-enhanced policy and unknown-condition generalization tests; evidence is simulation-only (L0) without independent runtime intervention layer (AM0).
133,133,Borngrund2023,2023,,Autonomous navigation of wheel loaders using task decomposition and reinforcement learning,Tier B,"Navigation, Layout, and Logistics Support",High-level,Low-dim / structured relative pose-velocity and steering-lift state observation,MDP,MB/D/MB/MB,Task/planner-level,AM0,L0,Contextual,paper-level check: CASE 2023 study uses PPO task-decomposed agents for wheel-loader navigation subtask between pile and dump truck in simulation only; no independent runtime intervention layer is disclosed and evidence remains non-deployed simulation navigation support.
134,134,MakiPenttila2025,2025,,Autonomous wheel loader navigation using goal-conditioned actor-critic MPC,Tier B,"Navigation, Layout, and Logistics Support",Mid-level reference-velocity planning with constrained MPC (front-body longitudinal velocity and center-joint angular velocity commands),Low-dim / structured goal-conditioned wheel-loader pose and articulated-joint state (relative position/heading to goal plus joint/velocity states),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L2,Contextual,"paper-level check: method first trains a goal-conditioned Actor-Critic RL agent in simulation, then transfers critic knowledge into a constrained nonlinear MPC as stage and terminal costs (Actor-Critic MPC) for time-efficient goal-pose navigation. The low-level feedback controller tracks MPC velocity references for steering hydraulics and diesel engine. Results include comprehensive simulation and real Avant wheel-loader demonstrations in multiple navigation scenarios, but without sustained construction-site deployment or an independent runtime veto/fallback safety layer."
